X.,What.is.your.name.,What.is.your.age.,What.is.your.gender.,What.kind.of.phone.do.you.have.,Do.you.use.some.type.of.Ad.Blocking.software.,Do.you.use.any..Do.Not.Track..Services.,How.often.do.you.use.Incognito.Mode.,Browsing.Data,Health,Financial,Mobile.Data,None.of.the.Above,Other,Browsing.Data.1,Health.1,Financial.1,Mobile.Data.1,None.of.the.Above.1,Other.1,Browsing.Data.2,Health.2,Financial.2,Mobile.Data.2,None.of.the.Above.2,Other.2,What.do.you.feel.about.the.effectiveness.of.Internet.Ads.,How.often.do.you.purchase.a.product.because.of.an.internet.ad.,How.do.you.feel.about.Ads.based.off.your.browsing.history.,Would.you.want.to.look.at.ads.that.are.personalized.to.you.,Start.Date..UTC.,Submit.Date..UTC.,Network.ID
b8c9b13c2d8124c788ac1f57e3a75667,Jennifer ,35,F,Iphone,0,0,Never,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,4,1,5,1,6/17/15 15:16,6/17/15 15:18,f55e81122c
e1ebfe73c8c3e1890c17e7193166b3ad,Dawn Quaker,34,F,IPhone6,0,1,Never,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,4,1,2,1,6/17/15 15:27,6/17/15 15:29,4389d77f77
a5e430a47439cc836ab0d3567a486a3c,-,20,F,Blackberry Classic,1,0,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,3,1,2,1,6/17/15 15:22,6/17/15 15:31,4b27065f0f
58e0c84c1c66fab7a87898981c99a372,Liza,21,F,iPhone ,0,0,Never,,,,,None of the Above,,Browsing Data,,,,,,,,,,None of the Above,,2,1,4,1,6/17/15 15:32,6/17/15 15:33,9048d44f1b
c438af2e65951dd10c417c23e316b4ec,Veni Kunche,34,F,iPhone,0,0,Sometimes,Browsing Data,,,,,,Browsing Data,,,,,,Browsing Data,,,,,,3,1,3,1,6/17/15 15:33,6/17/15 15:35,08bb71b6f7
4459982b7d2fc5c465d51c74a1d20833,Nah,22,M,IPhone,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,1,0,5,0,6/17/15 15:34,6/17/15 15:35,b779c087d1
bc5f76005ca3ef2ca634317bda98d404,Jaimie,21,F,Samsung s4,0,0,Sometimes,,,Financial,,,,,,,,None of the Above,,,,Financial,,,,2,1,5,0,6/17/15 15:35,6/17/15 15:36,9bdeead007
4c0f0367bbf4a969d48af8f4a19a39ca,Eric,20,M,iPhone,-1,0,Sometimes,,,,,None of the Above,,,,Financial,Mobile Data,,,Browsing Data,Health,,Mobile Data,,,1,1,5,0,6/17/15 15:38,6/17/15 15:39,0b248221ca
0996606d6fbb82c2cbda0b65ca32edf3,Carleen,21,F,Iphone 5s,0,0,Sometimes,Browsing Data,,,Mobile Data,,,,,,,None of the Above,,Browsing Data,,,Mobile Data,,,2,1,3,1,6/17/15 15:43,6/17/15 15:46,665e151741
12ed8965a1372aa2aa00068c2fce547c,Zak,21,M,iPhone,1,0,Sometimes,,,,,None of the Above,,,,,,None of the Above,,,,Financial,,,,2,1,5,0,6/17/15 15:44,6/17/15 15:46,e762608f58
e64f7e40aa47e56e5aff7b013834f126,Howard Zuo,20,M,HTC One,1,0,Sometimes,,Health,,Mobile Data,,,,Health,,Mobile Data,,,,Health,,Mobile Data,,,1,0,4,1,6/17/15 15:46,6/17/15 15:50,d58e7fd8cd
c4339c9ba06c28ce56bb75240bdc3546,Esther,21,F,Samsung Galaxy Core Prime,1,1,Sometimes,Browsing Data,,,Mobile Data,,,,,,,None of the Above,,,,,,None of the Above,,1,0,5,0,6/17/15 15:58,6/17/15 16:00,80c520be5f
267fbea267e2f2355342706d87ffba39,Hamish,34,M,iphone 6,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,2,1,4,0,6/17/15 16:03,6/17/15 16:05,a1c3f5a953
3825ded30cc3e1873f23114814afa2df,Andrew Persad,25,M,iPhone 6,0,0,Frequently,Browsing Data,,,,,,Browsing Data,,Financial,,,,Browsing Data,,Financial,,,,5,1,2,1,6/17/15 15:27,6/17/15 16:07,53d54aafb0
8b8926742d22eba681fbd3e463501274,Rekka Jay,35,F,iPhone ,0,1,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,2,1,1,0,6/17/15 16:04,6/17/15 16:07,94ee0a1566
66c1aaa9a4aad555354e3c00c51b1725,X,21,M,iphone,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,-1,0,4,0,6/17/15 16:08,6/17/15 16:10,39527a7bd2
c696f89040286cd614b2ea600cbfdee0,Raymond,22,M,iPhone,1,1,Frequently,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,-1,0,5,0,6/17/15 16:12,6/17/15 16:14,28b12ac6c9
4b719ef9dd997b9a2e62e6bd596dc4b7,Tatum McGuire,27,F,iPhone 6,0,0,Never,Browsing Data,,,,,,,,,,None of the Above,,Browsing Data,,,,,,1,0,5,0,6/17/15 16:27,6/17/15 16:28,06c0c24a44
c0614f52e69bf04782919cc1adfa47c9,Edwin ,23,M,Samsung note 2,1,0,Sometimes,Browsing Data,,,Mobile Data,,,,Health,,,,,,,,,None of the Above,,1,1,3,1,6/17/15 16:41,6/17/15 16:53,714835622d
ad50603bb0a2d2484ee09f7586fdb0b7,Andrew,19,M,Samsung ,1,0,Never,Browsing Data,Health,,Mobile Data,,,,,,,None of the Above,,,,,,None of the Above,,4,1,3,1,6/17/15 16:58,6/17/15 16:59,676a39e60a
96bb0719387c2f8cd4d5c8416373d636,Shawn,30,M,Samsung s4,0,0,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,2,1,3,0,6/17/15 16:59,6/17/15 17:01,b2ae824795
3b14474a579e7157bc76466f43661e83,JayJay the JetPlane,21,M,Iphone 5s,1,1,Sometimes,,,,,None of the Above,,Browsing Data,,,,,,,,,,None of the Above,,1,0,5,0,6/17/15 16:59,6/17/15 17:03,e32888fb87
09787a2a5ec7f4f31597611101a33d50,Robert,20,M,Iphone,1,0,Sometimes,Browsing Data,,Financial,Mobile Data,,,,,Financial,,,,Browsing Data,,,,,,3,1,3,1,6/17/15 17:11,6/17/15 17:13,1802de95c2
20c7cc6029eb892fda3131753ee2ddeb,Daniel Pak,21,M,IPhone,1,0,Sometimes,Browsing Data,,,Mobile Data,,,,,Financial,,,,Browsing Data,,Financial,Mobile Data,,,1,0,2,1,6/17/15 17:31,6/17/15 17:32,54a547e468
1f55a8fc0829569d5be13ed19129d313,JB,20,F,iPhone ,1,0,Sometimes,Browsing Data,,,Mobile Data,,,,,,,None of the Above,,,,Financial,,,,1,1,5,0,6/17/15 17:32,6/17/15 17:34,e378a46bcf
de9b8cc2d4eb0eac8d1f126f241c41ab,Odreka Ahmed ,21,F,iPhone 6,0,0,Sometimes,Browsing Data,,Financial,Mobile Data,,,,,,,None of the Above,,Browsing Data,,Financial,,,,3,1,3,1,6/17/15 17:47,6/17/15 17:48,44b2399bbc
381a5ce09412ded3febb5db751011320,Allison,21,F,1+1,0,0,Sometimes,Browsing Data,,,,,,Browsing Data,,,,,,Browsing Data,,,,,,4,1,4,-1,6/17/15 18:10,6/17/15 18:12,db54c4bdb8
2881ccff48496d33041bd3f09c490c4a,Sarah,22,F,iPhone,1,1,Sometimes,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,4,1,4,1,6/17/15 18:17,6/17/15 18:19,372e9b774f
470b8bff6572374101a0b62e2e0128d9,Kristy,23,F,iPhone ,1,0,Sometimes,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,1,1,5,0,6/17/15 18:26,6/17/15 18:28,90877e7992
9c8447dc89cd9e39738570f9ea3600c7,Clara,20,F,iPhone 5,1,0,Sometimes,Browsing Data,Health,Financial,Mobile Data,,,Browsing Data,Health,Financial,Mobile Data,,,Browsing Data,Health,Financial,Mobile Data,,,3,1,3,1,6/17/15 18:27,6/17/15 18:29,34c0aa2b5f
13d4ca3b18967fe744ac44e4ffe25dda,Kathryn,21,F,Iphone,1,0,Sometimes,,,,,None of the Above,,,,Financial,,,,,,,,None of the Above,,2,1,3,1,6/17/15 18:41,6/17/15 18:43,6241960812
b3253b5c7cf269dbd1c3c2a6605b264a,I,21,M,"s5,5s",0,1,Sometimes,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,3,1,4,1,6/17/15 18:54,6/17/15 18:58,07cb6cd165
d947164179d7c774f3aaf5a884362282,Christopher Kaufman,20,M,IPhone 5C,0,1,Frequently,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,3,1,4,1,6/17/15 19:10,6/17/15 19:17,1d922ea71e
a7d2af3dceb21c6ec18dcdc48220a934,A,21,F,iphone,1,0,Sometimes,,,,,None of the Above,,,,Financial,,,,,,,,None of the Above,,1,0,4,0,6/17/15 19:14,6/17/15 19:17,7db77f7300
f75cb667f33adfa52194a182b994f0d2,Aaron,19,M,Samsung Galaxy S4,1,0,Sometimes,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,Financial,Mobile Data,,,4,1,3,1,6/17/15 19:24,6/17/15 19:26,ff7ed73fb8
f21ef9497c141dd968766383431db084,Ryan Vogan,21,M,iPhone 5,1,1,Sometimes,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,1,0,4,0,6/17/15 19:23,6/17/15 19:26,d1fad17f0b
53da7a10b410f77e21d7d8013b145fc0,Eddie Kim,18,M,IPhone,1,0,Sometimes,Browsing Data,,Financial,,,,,,Financial,,,,,,Financial,Mobile Data,,,2,1,3,1,6/17/15 19:30,6/17/15 19:33,742219b74e
311a2ba83828b89c10fca714c85baffa,Michelle,31,F,iphone 5,0,0,Sometimes,Browsing Data,,,,,,Browsing Data,,,,,,,,,,None of the Above,,4,1,3,1,6/17/15 19:40,6/17/15 19:41,2f8e0f8b53
0493fe2488a81434f510b30851042d27,Shuo Cheng,21,M,Iphone,1,1,Sometimes,,,,,None of the Above,,Browsing Data,,,Mobile Data,,,,,,,None of the Above,,2,1,3,0,6/17/15 19:57,6/17/15 19:59,30e92ddee3
45a2d65917eee4f6a2f49c3ea2c766b2,Alina swafford,20,F,iPhone ,1,1,Frequently,Browsing Data,,,,,,,,,,None of the Above,,Browsing Data,,,,,,2,0,3,0,6/17/15 20:00,6/17/15 20:02,ebd14214b0
00d92004cda7b4c2be05bf18fc8703d6,katie,20,F,iphone,0,0,Never,,,Financial,Mobile Data,,,,,Financial,,,,Browsing Data,,Financial,Mobile Data,,,1,0,3,1,6/17/15 20:44,6/17/15 20:47,84cdffdc1e
a27b469ebbbc54ee66468d4ed388e4c2,Leslie Wong ,20,M,Nexus 5,1,0,Sometimes,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,3,0,3,1,6/17/15 20:49,6/17/15 20:51,33bbfcb7e1
2446009eeaf25800a445171ed706f952,John montuori,35,M,iPhone 6,0,0,Never,Browsing Data,Health,Financial,Mobile Data,,,Browsing Data,Health,Financial,Mobile Data,,,Browsing Data,Health,Financial,Mobile Data,,,4,1,1,1,6/17/15 21:45,6/17/15 21:47,45fd676163
495b415429a963e08848a4aa7b3c503d,,38,M,iPhone,1,0,Sometimes,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,,,,,None of the Above,,3,1,5,0,6/17/15 21:48,6/17/15 21:49,e3f7437094
9eec75c291c522ef502e343fa348558c,,20,F,IPhone 4s,1,1,Sometimes,,Health,,,,,,Health,,,,,,Health,,,,,1,1,5,1,6/17/15 22:05,6/17/15 22:08,6bf57ee73d
f18435cdb75abe5af7ef717926bfc8ac,Jenice ,19,F,Google nexus 5,1,1,Sometimes,Browsing Data,,,,,,Browsing Data,,,,,,Browsing Data,,,,,,4,0,3,1,6/17/15 22:08,6/17/15 22:10,b20a2c553b
8631c4cc2de13628f08cd6b1317e186c,William Huang,21,M,Iphone,0,1,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,Browsing Data,,Financial,,,,3,1,5,1,6/17/15 22:16,6/17/15 22:18,9.44E+78
8959cd81839d9e773db336036e12469e,Emerson Carvalho,30,M,iPhone,1,0,Sometimes,Browsing Data,,,,,,Browsing Data,,,,,,Browsing Data,,,,,,2,1,3,1,6/17/15 22:39,6/17/15 22:43,e57b0598dc
bac985ae1a66a5c225fb6a7d61aaa8d0,Ben Dover,37,M,Nokia,1,1,Frequently,Browsing Data,Health,Financial,Mobile Data,None of the Above,,Browsing Data,Health,Financial,Mobile Data,None of the Above,Porn,,,,,None of the Above,,5,1,1,1,6/17/15 23:01,6/17/15 23:03,4cc35b32d8
925b2aaee0dacaf9c5159b7d3cbd6011,lucia ,21,F,samsung note2,1,0,Sometimes,Browsing Data,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,5,1,4,0,6/17/15 23:15,6/17/15 23:17,ac5080cb34
93712e2fae84855bc38cc7b0c1702686,Andrew,21,M,One Plus,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,2,1,5,0,6/18/15 1:29,6/18/15 1:30,df2d5de5d1
001f70df80a3fb7c310e6739bad4fb4c,DeetsMcgeetz,21,M,Iphone,1,0,Sometimes,,,,,None of the Above,,,,,Mobile Data,,,,,,,None of the Above,,1,0,5,0,6/18/15 2:16,6/18/15 2:21,b915a54e44
ad7b6d2cd25f438a9f0573b723623c8e,,20,F,iphone 4,1,1,Sometimes,,,,Mobile Data,,,,,,Mobile Data,,,,,,,None of the Above,,3,1,4,1,6/18/15 2:47,6/18/15 2:50,cda0353aa0
03c0bd71a5c0442b2293bc98053e0c78,Bridget,35,F,iPhone 6,0,0,Sometimes,,,,,,Viewing data,,Health,,Mobile Data,,,,,Financial,,,,2,1,4,0,6/18/15 4:51,6/18/15 4:55,ee4a3828c6
d0bee94d7a45fbea2fba5cad6b4a3140,A,18,M,N,0,0,Sometimes,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,1,1,3,1,6/18/15 5:42,6/18/15 5:44,d35ed44d5f
17e07449787edc7cf5d10d08520fdf77,Roger,54,M,iPhone 5s,1,1,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,1,0,5,0,6/18/15 10:14,6/18/15 10:16,1eca7cf651
a59678d682fecba9d38ba63d9da1ddf2,Nick,20,M,OnePlus One,1,0,Frequently,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,3,1,2,1,6/18/15 14:08,6/18/15 14:10,634c603f79
ffdac30c411677424ee7588ca61e5633,Raymond,15,M,iPhone,1,0,Never,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,2,0,2,1,6/18/15 15:46,6/18/15 15:48,bf6d67b760
4bc175978e12163e8f7c087ed1eea8b9,Ian,23,M,iPhone,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,2,1,5,0,6/18/15 17:53,6/18/15 17:55,d5e5c994a8
0883708595ef542ee0c4d5bea8421e07,Miguel,31,M,Samsung Note 3,0,0,Sometimes,Browsing Data,,,Mobile Data,,Movie watching data (better outcomes),Browsing Data,,,Mobile Data,,I assume my swipes data will be captured/tracked. Can be attributed to my profile.,Browsing Data,,,Mobile Data,,Viewing habits (e.g. Nielson Ratings),2,1,2,1,6/18/15 17:54,6/18/15 18:00,d5e5c994a8
49dcb3e9a37cd87d78b1ddc1e9dcefdf,Chris Calmeyn,34,M,iPhone 6,0,0,Sometimes,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,2,1,3,0,6/18/15 18:01,6/18/15 18:06,d5e5c994a8
e9d035cc0ed1552b627cf792b9835ef2,Fatima,24,F,iphone 5s,0,0,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,Browsing Data,,,,,,2,1,5,0,6/18/15 18:04,6/18/15 18:06,d5e5c994a8
e7c84347ca1f8ba42d5b8cd7aeef3060,Samantha,28,F,iphone 5s,1,0,Sometimes,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,Browsing Data,,,Mobile Data,,,2,1,5,0,6/18/15 18:06,6/18/15 18:08,d5e5c994a8
ff157d5841ac6dd7c9d3617b46ccfb56,Eddie Cullen,28,M,Iphone 6,0,0,Never,,,Financial,,,,,,Financial,Mobile Data,,,,,,,None of the Above,,3,1,3,1,6/18/15 17:53,6/18/15 18:13,9543caa174
17c4a87be72a3521e77f8221183c74bd,Jill,36,F,iphone,0,0,Sometimes,Browsing Data,,,Mobile Data,,,,,,Mobile Data,,,Browsing Data,,,,,,2,0,1,1,6/18/15 17:53,6/18/15 18:24,d5e5c994a8
46c85ba7a90d0d01a528c1959f74d524,Jocelyn ,36,F,Iphone,1,1,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,2,1,3,1,6/18/15 23:27,6/18/15 23:31,e06bc026d0
1b9ba716343ebe6d024690b50bb27dc3,Samantha,20,F,Iphone 6,1,0,Never,,,Financial,Mobile Data,,,,,Financial,Mobile Data,,,,,Financial,Mobile Data,,,2,0,1,1,6/19/15 4:07,6/19/15 4:08,dc73857a6b
4fa6c7a1376f262a921bb3bde8a4ebf4,Lillian,20,F,iPhone 6,1,0,Sometimes,,,,Mobile Data,,,,,,Mobile Data,,,,,,,None of the Above,,3,1,5,0,6/19/15 4:33,6/19/15 4:35,a3cf095e31
53c258c025546bad78a68007a066402c,Jamie,31,M,Samsung Note 3,0,0,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,Browsing Data,,,,,,3,1,3,1,6/18/15 19:20,6/19/15 15:32,d5e5c994a8
